[0:00:00 -> 0:00:02]  Say movie Mario.
[0:21:41 -> 0:21:43]  What's the message they're trying to say in your movie?
[0:21:48 -> 0:21:50]  What's the message they're trying to say in your movie, Kelsey?
[0:21:53 -> 0:21:57]  There has to be a message, something they want to say to the person watching the movie, right?
[0:21:58 -> 0:22:02]  Yes, when Chloe is being arrested,
[0:22:03 -> 0:22:07]  Yes, when Chloe is being arrested.
[0:22:09 -> 0:22:13]  So I'm a police officer, so I'm going to put a hat like this.
[0:22:16 -> 0:22:17]  Sorry.
[0:22:17 -> 0:22:18]  Are you serious?
[0:22:23 -> 0:22:24]  Karlie, shut up!
[0:22:33 -> 0:22:37]  So they will rob one of the Squishmallows.
[0:22:38 -> 0:22:39]  Okay, I understand that.
[0:22:41 -> 0:22:42]  The wheelchair.
[0:22:43 -> 0:22:44]  The wheelchair?
[0:22:45 -> 0:22:46]  The wheelchair?
[0:22:47 -> 0:22:48]  Yeah, and the white dress!
[0:22:49 -> 0:22:50]  Oh, the wheelchair, sorry.
[0:22:51 -> 0:22:52]  Yes, but I don't know.
[0:22:53 -> 0:22:56]  Okay, Kelsey, you were telling me, so we were robbing the Squishmallows.
[0:22:57 -> 0:23:01]  And the police officer was in the video.
[0:23:02 -> 0:23:03]  The police officer, Chloe.
[0:23:04 -> 0:23:05]  And I was...
[0:23:07 -> 0:23:08]  Oh, you on the bus.
[0:23:09 -> 0:23:10]  Yes.
[0:23:11 -> 0:23:12]  And then we go weightlifting.
[0:23:13 -> 0:23:14]  Oh, yeah!
[0:23:15 -> 0:23:16]  Weightlifting?
[0:23:17 -> 0:23:18]  Yeah.
[0:23:19 -> 0:23:20]  Where, in jail?
[0:23:21 -> 0:23:22]  No, the Squishmallows are fighting there.
[0:23:23 -> 0:23:25]  Ah, in jail, but they didn't take you to jail?
[0:23:26 -> 0:23:30]  Yes, but they let me go to do exercise.
[0:23:30 -> 0:23:33]  Oh, they let you go to exercise to get stronger.
[0:23:39 -> 0:23:41]  Chloe, what is the message of your story?
[0:23:49 -> 0:23:51]  No, from there, but closer, I can't hear you.
[0:23:52 -> 0:23:53]  There's a lot of noise.
[0:23:54 -> 0:23:55]  What is the message of your story?
[0:23:56 -> 0:24:05]  I saw that you were in Cali Airs, and we were using a...
[0:24:06 -> 0:24:07]  A machine?
[0:24:08 -> 0:24:09]  No, makeup.
[0:24:10 -> 0:24:11]  Oh, makeup?
[0:24:12 -> 0:24:14]  Yes, and we can use it to share a little bit with the kids.
[0:24:15 -> 0:24:16]  Candy.
[0:24:17 -> 0:24:19]  Candy? But they also stole it.
[0:24:20 -> 0:24:21]  Yes.
[0:24:22 -> 0:24:23]  A little bit on this side, and a little bit on the other.
[0:24:23 -> 0:24:24]  No, I bought it.
[0:24:25 -> 0:24:26]  You bought it, ok.
[0:24:27 -> 0:24:29]  Is this another story, or is it the same story, Chloe?
[0:24:33 -> 0:24:34]  The same story.
[0:24:35 -> 0:24:36]  The same story?
[0:24:37 -> 0:24:38]  Is there a message in this story?
[0:24:39 -> 0:24:41]  Something you want to teach the person who sees it?
[0:24:43 -> 0:24:44]  What is the message?
[0:24:46 -> 0:24:47]  What are you doing this story for?
[0:24:48 -> 0:24:49]  What is the message?
[0:24:50 -> 0:24:52]  I like Clears.
[0:24:53 -> 0:24:54]  Clears is a place?
[0:24:58 -> 0:24:59]  I like it.
[0:25:00 -> 0:25:01]  You like Clears, ok.
[0:25:02 -> 0:25:03]  So you want to make the story there, right?
[0:25:04 -> 0:25:05]  And why do you like it?
[0:25:06 -> 0:25:07]  Because...
[0:25:08 -> 0:25:09]  Would you have been there before?
[0:25:10 -> 0:25:11]  Because there's a lot of...
[0:25:12 -> 0:25:15]  A lot of fire and candy.
[0:25:16 -> 0:25:17]  Do you go with your family there?
[0:25:17 -> 0:25:18]  Not so much?
[0:25:21 -> 0:25:23]  Ok, does anyone have the end of their story?
[0:25:32 -> 0:25:34]  Ok, Kelsey, you try to sneak out, and what happened?
[0:25:39 -> 0:25:40]  The police, Chloe.
[0:25:41 -> 0:25:43]  Ok, and then what happened? What is the end of the story?
[0:25:44 -> 0:25:45]  Or is there more?
[0:25:45 -> 0:25:46]  Ah, you went to do exercise?
[0:25:47 -> 0:25:48]  And then?
[0:25:49 -> 0:25:50]  I helped you, ok?
[0:25:51 -> 0:25:52]  I took a picture of you.
[0:25:53 -> 0:25:54]  A picture of you?
[0:25:55 -> 0:25:56]  I took a picture of you, Chloe.
[0:25:57 -> 0:25:58]  But I took it because...
[0:25:59 -> 0:26:00]  Yellow!
[0:26:01 -> 0:26:02]  Oh, you have a camera?
[0:26:03 -> 0:26:04]  Yellow and then we took a picture.
[0:26:05 -> 0:26:06]  I thought you were asking me. Is this yours, Chloe?
[0:26:07 -> 0:26:08]  Check photo!
[0:26:09 -> 0:26:10]  The doll with the black hair.
[0:26:11 -> 0:26:12]  Alright, Kelsey.
[0:26:13 -> 0:26:14]  I'm going to go.
[0:26:15 -> 0:26:16]  Are you going to tell me more about the story?
[0:26:42 -> 0:26:43]  What happened, Jenny?
[0:26:45 -> 0:26:46]  You have to press your face.
[0:26:47 -> 0:26:48]  Or you have to press your balls.
[0:26:50 -> 0:26:53]  Ok, guys, they finished the model pass, and they tell me the end of the story.
[0:26:54 -> 0:26:56]  I'm intrigued. How does the story continue?
[0:26:57 -> 0:27:00]  We tried to get out so many times, but they still passed.
[0:27:01 -> 0:27:02]  And then we got back.
[0:27:03 -> 0:27:04]  We are the blue ones.
[0:27:05 -> 0:27:06]  And they caught our heads.
[0:27:07 -> 0:27:08]  You get punished?
[0:27:09 -> 0:27:10]  Yeah, that's what they do in prison.
[0:27:11 -> 0:27:12]  How do you know that?
[0:27:12 -> 0:27:13]  We were like in...
[0:27:14 -> 0:27:15]  We were not the ones who were 15.
[0:27:16 -> 0:27:18]  So we were like running, and they caught our heads.
[0:27:19 -> 0:27:20]  And then they...
[0:27:21 -> 0:27:22]  They called their dad because they are minors.
[0:27:23 -> 0:27:26]  And then we got in trouble from our mom, so they couldn't pay us after.
[0:27:27 -> 0:27:29]  So we had to pay them for like seven years.
[0:27:30 -> 0:27:31]  Wait, in the jail?
[0:27:32 -> 0:27:33]  Yeah, they did.
[0:27:34 -> 0:27:35]  Seven years?
[0:27:36 -> 0:27:37]  Wow, but how old are they going to be?
[0:27:38 -> 0:27:41]  So they do something, squish me a little, so I'm the officer.
[0:27:42 -> 0:27:43]  How old are you?
[0:27:44 -> 0:27:45]  The police, Chloe.
[0:27:46 -> 0:27:51]  They tell me that Kelsey and Kaylee are going to be in prison for seven years.
[0:27:52 -> 0:27:54]  Because their mom got angry, she didn't come to pick them up.
[0:27:55 -> 0:27:56]  That's very sad, I'm going to cry.
[0:27:57 -> 0:27:58]  About this story.
[0:27:59 -> 0:28:01]  What is the message of the story?
[0:28:02 -> 0:28:04]  There has to be a message, something they are teaching.
[0:28:05 -> 0:28:06]  You are the authors.
[0:28:07 -> 0:28:08]  Do you want to print a photo?
[0:28:09 -> 0:28:10]  No.
[0:28:11 -> 0:28:12]  You want to be a realist.
[0:28:13 -> 0:28:14]  Oh, ok, so maybe we take the photo away after a little while.
[0:28:15 -> 0:28:16]  On purpose.
[0:28:17 -> 0:28:18]  Where do they go?
[0:28:19 -> 0:28:21]  They are stealing, they should have a consequence.
[0:28:22 -> 0:28:23]  The shop?
[0:28:24 -> 0:28:26]  I think they are passing, so they can take a picture.
[0:28:27 -> 0:28:28]  Oh, ok.
[0:28:29 -> 0:28:32]  I don't think your mom would let you stay there for seven years, no matter how angry she was.
[0:28:33 -> 0:28:34]  She would die of shame.
[0:28:37 -> 0:28:38]  Change the paper?
[0:28:38 -> 0:28:39]  Something is happening.
[0:28:40 -> 0:28:41]  Where is it?
[0:28:42 -> 0:28:43]  You drew everything.
[0:28:44 -> 0:28:45]  Can I print this one?
[0:28:46 -> 0:28:47]  No.
[0:28:48 -> 0:28:49]  It's not.
[0:28:50 -> 0:28:53]  Ah, from the universe and the UFO.
[0:28:54 -> 0:28:57]  Ok, girls, I'm going to go back to continue telling me.
[0:28:58 -> 0:29:03]  I love the story, I see the message, I'm a little sad, but well, she will have to survive.
[0:29:04 -> 0:29:05]  Let's move on to this other group.
[0:29:06 -> 0:29:07]  Let's see who we have here.
[0:29:08 -> 0:29:09]  We have...
[0:29:10 -> 0:29:11]  Sorry, I'm going to kill myself.
[0:29:12 -> 0:29:13]  How are we doing, girls?
[0:29:18 -> 0:29:19]  Oh, hello.
[0:29:20 -> 0:29:21]  New student?
[0:29:22 -> 0:29:24]  You were here last week, but you didn't come so much.
[0:29:25 -> 0:29:26]  What's your name?
[0:29:27 -> 0:29:28]  Ivani.
[0:29:29 -> 0:29:30]  Novani.
[0:29:31 -> 0:29:32]  Novani, yes, it's true.
[0:29:33 -> 0:29:35]  Novani, I don't know if I have this from your parents.
[0:29:35 -> 0:29:36]  Let's see.
[0:29:39 -> 0:29:40]  No.
[0:29:41 -> 0:29:42]  Did I send this to you?
[0:29:43 -> 0:29:44]  I didn't send it to you.
[0:29:45 -> 0:29:47]  I think I told your mom I was going to send it, and then I didn't.
[0:29:48 -> 0:29:49]  Can you send it to your parents?
[0:29:50 -> 0:29:51]  And they have to sign.
[0:29:52 -> 0:29:55]  Look, they have to put their initials here, if they agree to record it.
[0:29:56 -> 0:29:57]  I explained it to them by phone.
[0:29:58 -> 0:29:59]  And then, second, that's one.
[0:30:00 -> 0:30:01]  And the other is to sign, two things.
[0:30:02 -> 0:30:03]  And do you bring it tomorrow?
[0:30:03 -> 0:30:06]  Yes, Novani, because you came in a little later, so I didn't give you this.
[0:30:07 -> 0:30:10]  It's the permission so we can see your work for the program, ok?
[0:30:11 -> 0:30:12]  Put it in your backpack, come on, honey.
[0:30:24 -> 0:30:25]  Don't lose it, honey.
[0:30:26 -> 0:30:27]  Do you have garlic for dinner?
[0:30:34 -> 0:30:35]  Tell me what you're doing.
[0:30:36 -> 0:30:37]  What's your story, Novani?
[0:30:38 -> 0:30:39]  This one?
[0:30:42 -> 0:30:44]  Hey, do you know that the dolls can stand up?
[0:30:45 -> 0:30:46]  Because they're going to be in a box.
[0:30:47 -> 0:30:48]  Like yours is three-dimensional.
[0:30:49 -> 0:30:50]  I think it's the first one I see.
[0:30:51 -> 0:30:52]  Kelsey, right?
[0:30:53 -> 0:30:54]  No, what's her name?
[0:30:55 -> 0:30:56]  Marin.
[0:30:57 -> 0:30:58]  I'm confusing them.
[0:30:59 -> 0:31:00]  Ok, here we have Novani.
[0:31:00 -> 0:31:02]  We have Marin and we have Keisha.
[0:31:03 -> 0:31:05]  I forget after not seeing them for so long.
[0:31:06 -> 0:31:07]  And Keisha.
[0:31:08 -> 0:31:11]  Let's see, Marin, I love that you're doing it like in space, you see?
[0:31:12 -> 0:31:13]  Because we're going to make it in a box.
[0:31:14 -> 0:31:18]  It's ok, Keisha has made it flat, because when we did it before it was flat.
[0:31:19 -> 0:31:21]  But now, if you want, you can do it like standing up.
[0:31:22 -> 0:31:24]  Novani is putting it up too, right?
[0:31:25 -> 0:31:26]  Yes, I'm putting it up.
[0:31:26 -> 0:31:28]  Novani is putting it up too, right?
[0:31:29 -> 0:31:31]  Like sitting down, you're putting them up like three-dimensional.
[0:31:32 -> 0:31:33]  Like mine.
[0:31:34 -> 0:31:37]  And yet Keisha is fine, Keisha has chosen to make it flat.
[0:31:38 -> 0:31:39]  More or less.
[0:31:40 -> 0:31:41]  Alright.
[0:31:43 -> 0:31:44]  I understand English too.
[0:31:45 -> 0:31:46]  I like to speak in Spanish.
[0:31:48 -> 0:31:49]  Alright.
[0:31:50 -> 0:31:53]  Marin, tell me your story.
[0:31:53 -> 0:31:54]  Tell me your story.
[0:31:55 -> 0:31:56]  Tell me your story.
[0:31:57 -> 0:31:58]  Where is your story?
[0:31:59 -> 0:32:00]  Is it this one?
[0:32:04 -> 0:32:05]  Alright.
[0:32:06 -> 0:32:07]  The character is Jessie?
[0:32:08 -> 0:32:09]  Jessie Apple?
[0:32:11 -> 0:32:12]  Who is Jessie? Is this her?
[0:32:13 -> 0:32:14]  Is that Jessie?
[0:32:15 -> 0:32:17]  What happened? Did you take her head off?
[0:32:18 -> 0:32:19]  I want to take a picture, can I?
[0:32:20 -> 0:32:21]  Can I take a picture?
[0:32:21 -> 0:32:22]  Can I take a picture?
[0:32:23 -> 0:32:24]  Are you going to put her head on first?
[0:32:25 -> 0:32:26]  Or should I take it off now?
[0:32:27 -> 0:32:28]  And can I take a picture of yours?
[0:32:29 -> 0:32:30]  Novani, don't move it.
[0:32:33 -> 0:32:34]  Wow, Novani.
[0:32:35 -> 0:32:37]  What are you going to do with these dolls? What's the story?
[0:32:38 -> 0:32:40]  Do you have a story, all three of you?
[0:32:41 -> 0:32:42]  Together?
[0:32:45 -> 0:32:46]  No? Different?
[0:32:47 -> 0:32:48]  No, I have a story with Novani.
[0:32:49 -> 0:32:50]  You have a story with what?
[0:32:51 -> 0:32:52]  Novani.
[0:32:53 -> 0:32:54]  Novani and?
[0:32:55 -> 0:32:56]  Noami.
[0:32:57 -> 0:32:58]  Noami.
[0:32:59 -> 0:33:00]  Where is Noami?
[0:33:01 -> 0:33:02]  She came today.
[0:33:03 -> 0:33:04]  Oh, I saw her come out.
[0:33:06 -> 0:33:09]  So Keisha, Noemi and Noami have made the same story.
[0:33:10 -> 0:33:11]  Can you tell me what it is, Keisha?
[0:33:12 -> 0:33:13]  It's our...
[0:33:15 -> 0:33:16]  Our...
[0:33:17 -> 0:33:18]  How do you say it?
[0:33:18 -> 0:33:20]  Our story is called, but my mom didn't tell me.
[0:33:21 -> 0:33:22]  But one day she did.
[0:33:24 -> 0:33:25]  Like a pajama party?
[0:33:26 -> 0:33:27]  A sleepover? Something like that?
[0:33:28 -> 0:33:29]  Yes.
[0:33:30 -> 0:33:32]  Ok, so your mom didn't tell you and...
[0:33:34 -> 0:33:36]  But you're making a big heart, right?
[0:33:39 -> 0:33:40]  Tell me.
[0:33:41 -> 0:33:43]  What is this about your story, the heart?
[0:33:44 -> 0:33:45]  Take a picture.
[0:33:45 -> 0:33:48]  It's a heart, but it's a person's heart.
[0:33:49 -> 0:33:50]  A person's heart?
[0:33:51 -> 0:33:52]  Yes.
[0:33:53 -> 0:33:54]  And what is the message in your story?
[0:33:55 -> 0:33:57]  Do you have a message you want to tell with your story?
[0:33:58 -> 0:33:59]  As an author?
[0:34:05 -> 0:34:06]  We don't have a story?
[0:34:06 -> 0:34:07]  You don't have a story?
[0:34:15 -> 0:34:18]  Ok, but did something happen after they didn't give you permission to make the pajama party?
[0:34:19 -> 0:34:20]  What happened?
[0:34:23 -> 0:34:24]  We made a video.
[0:34:25 -> 0:34:26]  What?
[0:34:27 -> 0:34:28]  A pajama video.
[0:34:29 -> 0:34:30]  Oh, you made a pajama video?
[0:34:33 -> 0:34:34]  But at school.
[0:34:37 -> 0:34:38]  At school, to take to school?
[0:34:39 -> 0:34:44]  Or at school, while they were at school, instead of going to class, they went to make a video?
[0:34:45 -> 0:34:46]  No, here at our show.
[0:34:47 -> 0:34:49]  Oh, during our show they made a video.
[0:34:55 -> 0:34:57]  Oh, you're telling me in reality that they already made the video?
[0:34:58 -> 0:34:59]  Of their pajama party?
[0:35:00 -> 0:35:02]  Oh, they already did it, and this is extra, the heart?
[0:35:03 -> 0:35:04]  You're just doing it for fun.
[0:35:04 -> 0:35:05]  I'm doing it for fun.
[0:35:06 -> 0:35:08]  Ah, ok, ok, now I understand.
[0:35:17 -> 0:35:19]  Let's see, you have a little bit left there, Jordani.
[0:35:21 -> 0:35:22]  Alright.
[0:35:23 -> 0:35:24]  What do I need here?
[0:35:26 -> 0:35:27]  No bunny.
