   0 [   0.00 ->    2.00] Say movie Mario.
   1 [   6.00 ->    7.00] Tell me.
   2 [   7.00 ->    9.00] Tell me what you are doing.
   3 [  13.00 ->   15.00] What do you mean? Aren't you planning your stop motion?
   4 [  15.00 ->   16.00] Yes.
   5 [  16.00 ->   18.00] Movie? Let's see how it goes.
   6 [  18.00 ->   21.00] Here. Remember here we are going to change the story?
   7 [  21.00 ->   22.00] Yes.
   8 [  22.00 ->   24.00] Remember here we are going to change here?
   9 [  24.00 ->   26.00] We have to reconcile.
  10 [  27.00 ->   29.00] It's Aiden, right?
  11 [  29.00 ->   31.00] Yes, it's Aiden.
  12 [  31.00 ->   37.00] Because he made a story where they fight with Isis.
  13 [  37.00 ->   40.00] Aha, this is Aiden and this is Isis?
  14 [  40.00 ->   41.00] Yes.
  15 [  41.00 ->   43.00] Isis made it, not me.
  16 [  43.00 ->   45.00] Oh, Isis.
  17 [  45.00 ->   47.00] Isis made the story, not me.
  18 [  47.00 ->   48.00] She made the story?
  19 [  48.00 ->   49.00] Yes.
  20 [  49.00 ->   50.00] Last week?
  21 [  50.00 ->   52.00] No, before the break.
  22 [  52.00 ->   53.00] Before the break?
  23 [  53.00 ->   54.00] Before the break.
  24 [  54.00 ->   56.00] Aha, but do you remember what it was?
  25 [  56.00 ->   60.00] In the end, he said they were going to get angry.
  26 [  60.00 ->   64.00] So we were talking about when we fight with our friends,
  27 [  64.00 ->   68.00] if we get angry or reconcile.
  28 [  70.00 ->   72.00] Tell me, Jaira, didn't you like this story?
  29 [  72.00 ->   74.00] Didn't you want this story?
  30 [  74.00 ->   75.00] Or do you want to finish it?
  31 [  75.00 ->   78.00] Because you say that Isis was the one who made it.
  32 [  78.00 ->   80.00] We can change it.
  33 [  80.00 ->   83.00] Tell me, tell me the story.
  34 [  83.00 ->   86.00] Do you like the story, Jaira? Tell me.
  35 [  88.00 ->   90.00] Is this story important to you or not?
  36 [  90.00 ->   91.00] Yes.
  37 [  91.00 ->   93.00] It has to be important to you. Why?
  38 [  94.00 ->   96.00] Jordani said he's going to do the walk.
  39 [  96.00 ->   98.00] Why is it important to you?
  40 [  99.00 ->  102.00] What are you going to put? Are you going to put something from the community in your box for the story?
  41 [ 102.00 ->  103.00] No.
 468 [1209.00 -> 1210.00] Who do you want to be, Chloe?
 469 [1211.00 -> 1212.00] What are you going to do?
 470 [1212.00 -> 1215.00] Because Kaylee wanted to not have so many people.
 471 [1219.00 -> 1221.00] Chloe, what are you going to do?
 472 [1222.00 -> 1223.00] She's the police officer!
 473 [1224.00 -> 1225.00] She's the police officer!
 474 [1226.00 -> 1227.00] Wait, what does Chloe say? I can't hear her.
 475 [1228.00 -> 1229.00] Tell me, honey.
 476 [1230.00 -> 1231.00] She's gone.
 477 [1232.00 -> 1233.00] What did you say, Kelsey?
 478 [1234.00 -> 1235.00] Her name is Kelsey, I'm Kaylee.
 479 [1236.00 -> 1237.00] Oh, sorry, Kelsey.
 480 [1238.00 -> 1239.00] Kaylee, no.
 481 [1240.00 -> 1241.00] Kaylee, no?
 482 [1242.00 -> 1243.00] Kaylee, what were you saying?
 483 [1244.00 -> 1245.00] What can Chloe do?
 484 [1246.00 -> 1248.00] She's going to be the police officer and arrest us.
 485 [1249.00 -> 1250.00] Do you think she'll like that role?
 486 [1251.00 -> 1252.00] We have to ask her.
 487 [1253.00 -> 1255.00] But we don't have anymore, um, wait, we just have these colors.
 488 [1256.00 -> 1257.00] How do you make them?
 489 [1258.00 -> 1260.00] Well, we can imagine that there are many colors.
 490 [1261.00 -> 1263.00] This is Chloe's skin color, a little bit similar.
 491 [1264.00 -> 1265.00] No?
 492 [1267.00 -> 1269.00] Okay, and what's going to happen after you get arrested?
 493 [1270.00 -> 1274.00] We go to jail, we have to, um, people have to take us.
 494 [1276.00 -> 1277.00] They're going to take you to jail?
 495 [1278.00 -> 1279.00] To the children's jail, I hope.
 496 [1280.00 -> 1282.00] Oh my God, what a sad story.
 497 [1283.00 -> 1285.00] Okay, and what happens when they take you to jail?
 498 [1286.00 -> 1287.00] I don't know.
 499 [1288.00 -> 1289.00] How do you solve the problem?
 500 [1290.00 -> 1293.00] The problem is that they've stolen your dolls and they take them to jail,
 501 [1294.00 -> 1295.00] the police officer, Chloe.
 502 [1296.00 -> 1297.00] And then what happens?
 503 [1297.00 -> 1300.00] They're trying to teach a message to the person watching your movie, right?
 504 [1301.00 -> 1303.00] What's the message they're trying to say in your movie?
 505 [1308.00 -> 1310.00] What's the message they're trying to say in your movie, Kelsey?
 506 [1313.00 -> 1317.00] There has to be a message, something they want to say to the person watching the movie, right?
 507 [1318.00 -> 1322.00] Yes, when Chloe is being arrested,
 508 [1323.00 -> 1327.00] Yes, when Chloe is being arrested.
 509 [1329.00 -> 1333.00] So I'm a police officer, so I'm going to put a hat like this.
 510 [1336.00 -> 1337.00] Sorry.
 511 [1337.00 -> 1338.00] Are you serious?
 512 [1343.00 -> 1344.00] Karlie, shut up!
 513 [1353.00 -> 1357.00] So they will rob one of the Squishmallows.
 514 [1358.00 -> 1359.00] Okay, I understand that.
 515 [1361.00 -> 1362.00] The wheelchair.
 516 [1363.00 -> 1364.00] The wheelchair?
 517 [1365.00 -> 1366.00] The wheelchair?
 518 [1367.00 -> 1368.00] Yeah, and the white dress!
 519 [1369.00 -> 1370.00] Oh, the wheelchair, sorry.
 520 [1371.00 -> 1372.00] Yes, but I don't know.
 521 [1373.00 -> 1376.00] Okay, Kelsey, you were telling me, so we were robbing the Squishmallows.
 522 [1377.00 -> 1381.00] And the police officer was in the video.
 523 [1382.00 -> 1383.00] The police officer, Chloe.
 524 [1384.00 -> 1385.00] And I was...
 525 [1387.00 -> 1388.00] Oh, you on the bus.
 526 [1389.00 -> 1390.00] Yes.
 527 [1391.00 -> 1392.00] And then we go weightlifting.
 528 [1393.00 -> 1394.00] Oh, yeah!
 529 [1395.00 -> 1396.00] Weightlifting?
 530 [1397.00 -> 1398.00] Yeah.
 531 [1399.00 -> 1400.00] Where, in jail?
 532 [1401.00 -> 1402.00] No, the Squishmallows are fighting there.
 533 [1403.00 -> 1405.00] Ah, in jail, but they didn't take you to jail?
 534 [1406.00 -> 1410.00] Yes, but they let me go to do exercise.
 535 [1410.00 -> 1413.00] Oh, they let you go to exercise to get stronger.
 536 [1419.00 -> 1421.00] Chloe, what is the message of your story?
 537 [1429.00 -> 1431.00] No, from there, but closer, I can't hear you.
 538 [1432.00 -> 1433.00] There's a lot of noise.
 539 [1434.00 -> 1435.00] What is the message of your story?
 540 [1436.00 -> 1445.00] I saw that you were in Cali Airs, and we were using a...
 541 [1446.00 -> 1447.00] A machine?
 542 [1448.00 -> 1449.00] No, makeup.
 543 [1450.00 -> 1451.00] Oh, makeup?
 544 [1452.00 -> 1454.00] Yes, and we can use it to share a little bit with the kids.
 545 [1455.00 -> 1456.00] Candy.
 546 [1457.00 -> 1459.00] Candy? But they also stole it.
 547 [1460.00 -> 1461.00] Yes.
 548 [1462.00 -> 1463.00] A little bit on this side, and a little bit on the other.
 549 [1463.00 -> 1464.00] No, I bought it.
 550 [1465.00 -> 1466.00] You bought it, ok.
 551 [1467.00 -> 1469.00] Is this another story, or is it the same story, Chloe?
 552 [1473.00 -> 1474.00] The same story.
 553 [1475.00 -> 1476.00] The same story?
 554 [1477.00 -> 1478.00] Is there a message in this story?
 555 [1479.00 -> 1481.00] Something you want to teach the person who sees it?
 556 [1483.00 -> 1484.00] What is the message?
 557 [1486.00 -> 1487.00] What are you doing this story for?
 558 [1488.00 -> 1489.00] What is the message?
 559 [1490.00 -> 1492.00] I like Clears.
 560 [1493.00 -> 1494.00] Clears is a place?
 561 [1498.00 -> 1499.00] I like it.
 562 [1500.00 -> 1501.00] You like Clears, ok.
 563 [1502.00 -> 1503.00] So you want to make the story there, right?
 564 [1504.00 -> 1505.00] And why do you like it?
 565 [1506.00 -> 1507.00] Because...
 566 [1508.00 -> 1509.00] Would you have been there before?
 567 [1510.00 -> 1511.00] Because there's a lot of...
 568 [1512.00 -> 1515.00] A lot of fire and candy.
 569 [1516.00 -> 1517.00] Do you go with your family there?
 570 [1517.00 -> 1518.00] Not so much?
 571 [1521.00 -> 1523.00] Ok, does anyone have the end of their story?
 572 [1532.00 -> 1534.00] Ok, Kelsey, you try to sneak out, and what happened?
 573 [1539.00 -> 1540.00] The police, Chloe.
 574 [1541.00 -> 1543.00] Ok, and then what happened? What is the end of the story?
 575 [1544.00 -> 1545.00] Or is there more?
 576 [1545.00 -> 1546.00] Ah, you went to do exercise?
 577 [1547.00 -> 1548.00] And then?
 578 [1549.00 -> 1550.00] I helped you, ok?
 579 [1551.00 -> 1552.00] I took a picture of you.
 580 [1553.00 -> 1554.00] A picture of you?
 581 [1555.00 -> 1556.00] I took a picture of you, Chloe.
 582 [1557.00 -> 1558.00] But I took it because...
 583 [1559.00 -> 1560.00] Yellow!
 584 [1561.00 -> 1562.00] Oh, you have a camera?
 585 [1563.00 -> 1564.00] Yellow and then we took a picture.
 586 [1565.00 -> 1566.00] I thought you were asking me. Is this yours, Chloe?
 587 [1567.00 -> 1568.00] Check photo!
 588 [1569.00 -> 1570.00] The doll with the black hair.
 589 [1571.00 -> 1572.00] Alright, Kelsey.
 590 [1573.00 -> 1574.00] I'm going to go.
 591 [1575.00 -> 1576.00] Are you going to tell me more about the story?
 592 [1602.00 -> 1603.00] What happened, Jenny?
 593 [1605.00 -> 1606.00] You have to press your face.
 594 [1607.00 -> 1608.00] Or you have to press your balls.
 595 [1610.00 -> 1613.00] Ok, guys, they finished the model pass, and they tell me the end of the story.
 596 [1614.00 -> 1616.00] I'm intrigued. How does the story continue?
 597 [1617.00 -> 1620.00] We tried to get out so many times, but they still passed.
 598 [1621.00 -> 1622.00] And then we got back.
 599 [1623.00 -> 1624.00] We are the blue ones.
 600 [1625.00 -> 1626.00] And they caught our heads.
 601 [1627.00 -> 1628.00] You get punished?
 602 [1629.00 -> 1630.00] Yeah, that's what they do in prison.
 603 [1631.00 -> 1632.00] How do you know that?
 604 [1632.00 -> 1633.00] We were like in...
 605 [1634.00 -> 1635.00] We were not the ones who were 15.
 606 [1636.00 -> 1638.00] So we were like running, and they caught our heads.
 607 [1639.00 -> 1640.00] And then they...
 608 [1641.00 -> 1642.00] They called their dad because they are minors.
 609 [1643.00 -> 1646.00] And then we got in trouble from our mom, so they couldn't pay us after.
 610 [1647.00 -> 1649.00] So we had to pay them for like seven years.
 611 [1650.00 -> 1651.00] Wait, in the jail?
 612 [1652.00 -> 1653.00] Yeah, they did.
 613 [1654.00 -> 1655.00] Seven years?
 614 [1656.00 -> 1657.00] Wow, but how old are they going to be?
 615 [1658.00 -> 1661.00] So they do something, squish me a little, so I'm the officer.
 616 [1662.00 -> 1663.00] How old are you?
 617 [1664.00 -> 1665.00] The police, Chloe.
 618 [1666.00 -> 1671.00] They tell me that Kelsey and Kaylee are going to be in prison for seven years.
 619 [1672.00 -> 1674.00] Because their mom got angry, she didn't come to pick them up.
 620 [1675.00 -> 1676.00] That's very sad, I'm going to cry.
 621 [1677.00 -> 1678.00] About this story.
 622 [1679.00 -> 1681.00] What is the message of the story?
 623 [1682.00 -> 1684.00] There has to be a message, something they are teaching.
 624 [1685.00 -> 1686.00] You are the authors.
 625 [1687.00 -> 1688.00] Do you want to print a photo?
 626 [1689.00 -> 1690.00] No.
 627 [1691.00 -> 1692.00] You want to be a realist.
 628 [1693.00 -> 1694.00] Oh, ok, so maybe we take the photo away after a little while.
 629 [1695.00 -> 1696.00] On purpose.
 630 [1697.00 -> 1698.00] Where do they go?
 631 [1699.00 -> 1701.00] They are stealing, they should have a consequence.
 632 [1702.00 -> 1703.00] The shop?
 633 [1704.00 -> 1706.00] I think they are passing, so they can take a picture.
 634 [1707.00 -> 1708.00] Oh, ok.
 635 [1709.00 -> 1712.00] I don't think your mom would let you stay there for seven years, no matter how angry she was.
 636 [1713.00 -> 1714.00] She would die of shame.
 637 [1717.00 -> 1718.00] Change the paper?
 638 [1718.00 -> 1719.00] Something is happening.
 639 [1720.00 -> 1721.00] Where is it?
 640 [1722.00 -> 1723.00] You drew everything.
 641 [1724.00 -> 1725.00] Can I print this one?
 642 [1726.00 -> 1727.00] No.
 643 [1728.00 -> 1729.00] It's not.
 644 [1730.00 -> 1733.00] Ah, from the universe and the UFO.
 645 [1734.00 -> 1737.00] Ok, girls, I'm going to go back to continue telling me.
 646 [1738.00 -> 1743.00] I love the story, I see the message, I'm a little sad, but well, she will have to survive.
 647 [1744.00 -> 1745.00] Let's move on to this other group.
 648 [1746.00 -> 1747.00] Let's see who we have here.
 649 [1748.00 -> 1749.00] We have...
 650 [1750.00 -> 1751.00] Sorry, I'm going to kill myself.
 651 [1752.00 -> 1753.00] How are we doing, girls?
 652 [1758.00 -> 1759.00] Oh, hello.
 653 [1760.00 -> 1761.00] New student?
 654 [1762.00 -> 1764.00] You were here last week, but you didn't come so much.
 655 [1765.00 -> 1766.00] What's your name?
 656 [1767.00 -> 1768.00] Ivani.
 657 [1769.00 -> 1770.00] Novani.
 658 [1771.00 -> 1772.00] Novani, yes, it's true.
 659 [1773.00 -> 1775.00] Novani, I don't know if I have this from your parents.
 660 [1775.00 -> 1776.00] Let's see.
 661 [1779.00 -> 1780.00] No.
 662 [1781.00 -> 1782.00] Did I send this to you?
 663 [1783.00 -> 1784.00] I didn't send it to you.
 664 [1785.00 -> 1787.00] I think I told your mom I was going to send it, and then I didn't.
 665 [1788.00 -> 1789.00] Can you send it to your parents?
 666 [1790.00 -> 1791.00] And they have to sign.
 667 [1792.00 -> 1795.00] Look, they have to put their initials here, if they agree to record it.
 668 [1796.00 -> 1797.00] I explained it to them by phone.
 669 [1798.00 -> 1799.00] And then, second, that's one.
 670 [1800.00 -> 1801.00] And the other is to sign, two things.
 671 [1802.00 -> 1803.00] And do you bring it tomorrow?
 672 [1803.00 -> 1806.00] Yes, Novani, because you came in a little later, so I didn't give you this.
 673 [1807.00 -> 1810.00] It's the permission so we can see your work for the program, ok?
 674 [1811.00 -> 1812.00] Put it in your backpack, come on, honey.
 675 [1824.00 -> 1825.00] Don't lose it, honey.
 676 [1826.00 -> 1827.00] Do you have garlic for dinner?
 677 [1834.00 -> 1835.00] Tell me what you're doing.
 678 [1836.00 -> 1837.00] What's your story, Novani?
 679 [1838.00 -> 1839.00] This one?
 680 [1842.00 -> 1844.00] Hey, do you know that the dolls can stand up?
 681 [1845.00 -> 1846.00] Because they're going to be in a box.
 682 [1847.00 -> 1848.00] Like yours is three-dimensional.
 683 [1849.00 -> 1850.00] I think it's the first one I see.
 684 [1851.00 -> 1852.00] Kelsey, right?
 685 [1853.00 -> 1854.00] No, what's her name?
 686 [1855.00 -> 1856.00] Marin.
 687 [1857.00 -> 1858.00] I'm confusing them.
 688 [1859.00 -> 1860.00] Ok, here we have Novani.
 689 [1860.00 -> 1862.00] We have Marin and we have Keisha.
 690 [1863.00 -> 1865.00] I forget after not seeing them for so long.
 691 [1866.00 -> 1867.00] And Keisha.
 692 [1868.00 -> 1871.00] Let's see, Marin, I love that you're doing it like in space, you see?
 693 [1872.00 -> 1873.00] Because we're going to make it in a box.
 694 [1874.00 -> 1878.00] It's ok, Keisha has made it flat, because when we did it before it was flat.
 695 [1879.00 -> 1881.00] But now, if you want, you can do it like standing up.
 696 [1882.00 -> 1884.00] Novani is putting it up too, right?
 697 [1885.00 -> 1886.00] Yes, I'm putting it up.
 698 [1886.00 -> 1888.00] Novani is putting it up too, right?
 699 [1889.00 -> 1891.00] Like sitting down, you're putting them up like three-dimensional.
 700 [1892.00 -> 1893.00] Like mine.
 701 [1894.00 -> 1897.00] And yet Keisha is fine, Keisha has chosen to make it flat.
 702 [1898.00 -> 1899.00] More or less.
 703 [1900.00 -> 1901.00] Alright.
 704 [1903.00 -> 1904.00] I understand English too.
 705 [1905.00 -> 1906.00] I like to speak in Spanish.
 706 [1908.00 -> 1909.00] Alright.
 707 [1910.00 -> 1913.00] Marin, tell me your story.
 708 [1913.00 -> 1914.00] Tell me your story.
 709 [1915.00 -> 1916.00] Tell me your story.
 710 [1917.00 -> 1918.00] Where is your story?
 711 [1919.00 -> 1920.00] Is it this one?
 712 [1924.00 -> 1925.00] Alright.
 713 [1926.00 -> 1927.00] The character is Jessie?
 714 [1928.00 -> 1929.00] Jessie Apple?
 715 [1931.00 -> 1932.00] Who is Jessie? Is this her?
 716 [1933.00 -> 1934.00] Is that Jessie?
 717 [1935.00 -> 1937.00] What happened? Did you take her head off?
 718 [1938.00 -> 1939.00] I want to take a picture, can I?
 719 [1940.00 -> 1941.00] Can I take a picture?
 720 [1941.00 -> 1942.00] Can I take a picture?
 721 [1943.00 -> 1944.00] Are you going to put her head on first?
 722 [1945.00 -> 1946.00] Or should I take it off now?
 723 [1947.00 -> 1948.00] And can I take a picture of yours?
 724 [1949.00 -> 1950.00] Novani, don't move it.
 725 [1953.00 -> 1954.00] Wow, Novani.
 726 [1955.00 -> 1957.00] What are you going to do with these dolls? What's the story?
 727 [1958.00 -> 1960.00] Do you have a story, all three of you?
 728 [1961.00 -> 1962.00] Together?
 729 [1965.00 -> 1966.00] No? Different?
 730 [1967.00 -> 1968.00] No, I have a story with Novani.
 731 [1969.00 -> 1970.00] You have a story with what?
 732 [1971.00 -> 1972.00] Novani.
 733 [1973.00 -> 1974.00] Novani and?
 734 [1975.00 -> 1976.00] Noami.
 735 [1977.00 -> 1978.00] Noami.
 736 [1979.00 -> 1980.00] Where is Noami?
 737 [1981.00 -> 1982.00] She came today.
 738 [1983.00 -> 1984.00] Oh, I saw her come out.
 739 [1986.00 -> 1989.00] So Keisha, Noemi and Noami have made the same story.
 740 [1990.00 -> 1991.00] Can you tell me what it is, Keisha?
 741 [1992.00 -> 1993.00] It's our...
 742 [1995.00 -> 1996.00] Our...
 743 [1997.00 -> 1998.00] How do you say it?
 744 [1998.00 -> 2000.00] Our story is called, but my mom didn't tell me.
 745 [2001.00 -> 2002.00] But one day she did.
 746 [2004.00 -> 2005.00] Like a pajama party?
 747 [2006.00 -> 2007.00] A sleepover? Something like that?
 748 [2008.00 -> 2009.00] Yes.
 749 [2010.00 -> 2012.00] Ok, so your mom didn't tell you and...
 750 [2014.00 -> 2016.00] But you're making a big heart, right?
 751 [2019.00 -> 2020.00] Tell me.
 752 [2021.00 -> 2023.00] What is this about your story, the heart?
 753 [2024.00 -> 2025.00] Take a picture.
 754 [2025.00 -> 2028.00] It's a heart, but it's a person's heart.
 755 [2029.00 -> 2030.00] A person's heart?
 756 [2031.00 -> 2032.00] Yes.
 757 [2033.00 -> 2034.00] And what is the message in your story?
 758 [2035.00 -> 2037.00] Do you have a message you want to tell with your story?
 759 [2038.00 -> 2039.00] As an author?
 760 [2045.00 -> 2046.00] We don't have a story?
 761 [2046.00 -> 2047.00] You don't have a story?
 762 [2055.00 -> 2058.00] Ok, but did something happen after they didn't give you permission to make the pajama party?
 763 [2059.00 -> 2060.00] What happened?
 764 [2063.00 -> 2064.00] We made a video.
 765 [2065.00 -> 2066.00] What?
 766 [2067.00 -> 2068.00] A pajama video.
 767 [2069.00 -> 2070.00] Oh, you made a pajama video?
 768 [2073.00 -> 2074.00] But at school.
 769 [2077.00 -> 2078.00] At school, to take to school?
 770 [2079.00 -> 2084.00] Or at school, while they were at school, instead of going to class, they went to make a video?
 771 [2085.00 -> 2086.00] No, here at our show.
 772 [2087.00 -> 2089.00] Oh, during our show they made a video.
 773 [2095.00 -> 2097.00] Oh, you're telling me in reality that they already made the video?
 774 [2098.00 -> 2099.00] Of their pajama party?
 775 [2100.00 -> 2102.00] Oh, they already did it, and this is extra, the heart?
 776 [2103.00 -> 2104.00] You're just doing it for fun.
 777 [2104.00 -> 2105.00] I'm doing it for fun.
 778 [2106.00 -> 2108.00] Ah, ok, ok, now I understand.
 779 [2117.00 -> 2119.00] Let's see, you have a little bit left there, Jordani.
 780 [2121.00 -> 2122.00] Alright.
 781 [2123.00 -> 2124.00] What do I need here?
 782 [2126.00 -> 2127.00] No bunny.
