~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Starting en transcription...
 Time : 00:51:07________
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

C:\Users\mattt\AppData\Local\Programs\Python\Python38\lib\site-packages\whisper\transcribe.py:114: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Say movie Mario.
[21:04.000 --> 21:05.000]  No?
[21:07.000 --> 21:09.000]  Okay, and what's going to happen after you get arrested?
[21:10.000 --> 21:14.000]  We go to jail, we have to, um, people have to take us.
[21:16.000 --> 21:17.000]  They're going to take you to jail?
[21:18.000 --> 21:19.000]  To the children's jail, I hope.
[21:20.000 --> 21:22.000]  Oh my God, what a sad story.
[21:23.000 --> 21:25.000]  Okay, and what happens when they take you to jail?
[21:26.000 --> 21:27.000]  I don't know.
[21:28.000 --> 21:29.000]  How do you solve the problem?
[21:30.000 --> 21:33.000]  The problem is that they've stolen your dolls and they take them to jail,
[21:34.000 --> 21:35.000]  the police officer, Chloe.
[21:36.000 --> 21:37.000]  And then what happens?
[21:37.000 --> 21:40.000]  They're trying to teach a message to the person watching your movie, right?
[21:41.000 --> 21:43.000]  What's the message they're trying to say in your movie?
[21:48.000 --> 21:50.000]  What's the message they're trying to say in your movie, Kelsey?
[21:53.000 --> 21:57.000]  There has to be a message, something they want to say to the person watching the movie, right?
[21:58.000 --> 22:02.000]  Yes, when Chloe is being arrested,
[22:03.000 --> 22:07.000]  Yes, when Chloe is being arrested.
[22:09.000 --> 22:13.000]  So I'm a police officer, so I'm going to put a hat like this.
[22:16.000 --> 22:17.000]  Sorry.
[22:17.000 --> 22:18.000]  Are you serious?
[22:23.000 --> 22:24.000]  Karlie, shut up!
[22:33.000 --> 22:37.000]  So they will rob one of the Squishmallows.
[22:38.000 --> 22:39.000]  Okay, I understand that.
[22:41.000 --> 22:42.000]  The wheelchair.
[22:43.000 --> 22:44.000]  The wheelchair?
[22:45.000 --> 22:46.000]  The wheelchair?
[22:47.000 --> 22:48.000]  Yeah, and the white dress!
[22:49.000 --> 22:50.000]  Oh, the wheelchair, sorry.
[22:51.000 --> 22:52.000]  Yes, but I don't know.
[22:53.000 --> 22:56.000]  Okay, Kelsey, you were telling me, so we were robbing the Squishmallows.
[22:57.000 --> 23:01.000]  And the police officer was in the video.
[23:02.000 --> 23:03.000]  The police officer, Chloe.
[23:04.000 --> 23:05.000]  And I was...
[23:07.000 --> 23:08.000]  Oh, you on the bus.
[23:09.000 --> 23:10.000]  Yes.
[23:11.000 --> 23:12.000]  And then we go weightlifting.
[23:13.000 --> 23:14.000]  Oh, yeah!
[23:15.000 --> 23:16.000]  Weightlifting?
[23:17.000 --> 23:18.000]  Yeah.
[23:19.000 --> 23:20.000]  Where, in jail?
[23:21.000 --> 23:22.000]  No, the Squishmallows are fighting there.
[23:23.000 --> 23:25.000]  Ah, in jail, but they didn't take you to jail?
[23:26.000 --> 23:30.000]  Yes, but they let me go to do exercise.
[23:30.000 --> 23:33.000]  Oh, they let you go to exercise to get stronger.
[23:39.000 --> 23:41.000]  Chloe, what is the message of your story?
[23:49.000 --> 23:51.000]  No, from there, but closer, I can't hear you.
[23:52.000 --> 23:53.000]  There's a lot of noise.
[23:54.000 --> 23:55.000]  What is the message of your story?
[23:56.000 --> 24:05.000]  I saw that you were in Cali Airs, and we were using a...
[24:06.000 --> 24:07.000]  A machine?
[24:08.000 --> 24:09.000]  No, makeup.
[24:10.000 --> 24:11.000]  Oh, makeup?
[24:12.000 --> 24:14.000]  Yes, and we can use it to share a little bit with the kids.
[24:15.000 --> 24:16.000]  Candy.
[24:17.000 --> 24:19.000]  Candy? But they also stole it.
[24:20.000 --> 24:21.000]  Yes.
[24:22.000 --> 24:23.000]  A little bit on this side, and a little bit on the other.
[24:23.000 --> 24:24.000]  No, I bought it.
[24:25.000 --> 24:26.000]  You bought it, ok.
[24:27.000 --> 24:29.000]  Is this another story, or is it the same story, Chloe?
[24:33.000 --> 24:34.000]  The same story.
[24:35.000 --> 24:36.000]  The same story?
[24:37.000 --> 24:38.000]  Is there a message in this story?
[24:39.000 --> 24:41.000]  Something you want to teach the person who sees it?
[24:43.000 --> 24:44.000]  What is the message?
[24:46.000 --> 24:47.000]  What are you doing this story for?
[24:48.000 --> 24:49.000]  What is the message?
[24:50.000 --> 24:52.000]  I like Clears.
[24:53.000 --> 24:54.000]  Clears is a place?
[24:58.000 --> 24:59.000]  I like it.
[25:00.000 --> 25:01.000]  You like Clears, ok.
[25:02.000 --> 25:03.000]  So you want to make the story there, right?
[25:04.000 --> 25:05.000]  And why do you like it?
[25:06.000 --> 25:07.000]  Because...
[25:08.000 --> 25:09.000]  Would you have been there before?
[25:10.000 --> 25:11.000]  Because there's a lot of...
[25:12.000 --> 25:15.000]  A lot of fire and candy.
[25:16.000 --> 25:17.000]  Do you go with your family there?
[25:17.000 --> 25:18.000]  Not so much?
[25:21.000 --> 25:23.000]  Ok, does anyone have the end of their story?
[25:32.000 --> 25:34.000]  Ok, Kelsey, you try to sneak out, and what happened?
[25:39.000 --> 25:40.000]  The police, Chloe.
[25:41.000 --> 25:43.000]  Ok, and then what happened? What is the end of the story?
[25:44.000 --> 25:45.000]  Or is there more?
[25:45.000 --> 25:46.000]  Ah, you went to do exercise?
[25:47.000 --> 25:48.000]  And then?
[25:49.000 --> 25:50.000]  I helped you, ok?
[25:51.000 --> 25:52.000]  I took a picture of you.
[25:53.000 --> 25:54.000]  A picture of you?
[25:55.000 --> 25:56.000]  I took a picture of you, Chloe.
[25:57.000 --> 25:58.000]  But I took it because...
[25:59.000 --> 26:00.000]  Yellow!
[26:01.000 --> 26:02.000]  Oh, you have a camera?
[26:03.000 --> 26:04.000]  Yellow and then we took a picture.
[26:05.000 --> 26:06.000]  I thought you were asking me. Is this yours, Chloe?
[26:07.000 --> 26:08.000]  Check photo!
[26:09.000 --> 26:10.000]  The doll with the black hair.
[26:11.000 --> 26:12.000]  Alright, Kelsey.
[26:13.000 --> 26:14.000]  I'm going to go.
[26:15.000 --> 26:16.000]  Are you going to tell me more about the story?
[26:42.000 --> 26:43.000]  What happened, Jenny?
[26:45.000 --> 26:46.000]  You have to press your face.
[26:47.000 --> 26:48.000]  Or you have to press your balls.
[26:50.000 --> 26:53.000]  Ok, guys, they finished the model pass, and they tell me the end of the story.
[26:54.000 --> 26:56.000]  I'm intrigued. How does the story continue?
[26:57.000 --> 27:00.000]  We tried to get out so many times, but they still passed.
[27:01.000 --> 27:02.000]  And then we got back.
[27:03.000 --> 27:04.000]  We are the blue ones.
[27:05.000 --> 27:06.000]  And they caught our heads.
[27:07.000 --> 27:08.000]  You get punished?
[27:09.000 --> 27:10.000]  Yeah, that's what they do in prison.
[27:11.000 --> 27:12.000]  How do you know that?
[27:12.000 --> 27:13.000]  We were like in...
[27:14.000 --> 27:15.000]  We were not the ones who were 15.
[27:16.000 --> 27:18.000]  So we were like running, and they caught our heads.
[27:19.000 --> 27:20.000]  And then they...
[27:21.000 --> 27:22.000]  They called their dad because they are minors.
[27:23.000 --> 27:26.000]  And then we got in trouble from our mom, so they couldn't pay us after.
[27:27.000 --> 27:29.000]  So we had to pay them for like seven years.
[27:30.000 --> 27:31.000]  Wait, in the jail?
[27:32.000 --> 27:33.000]  Yeah, they did.
[27:34.000 --> 27:35.000]  Seven years?
[27:36.000 --> 27:37.000]  Wow, but how old are they going to be?
[27:38.000 --> 27:41.000]  So they do something, squish me a little, so I'm the officer.
[27:42.000 --> 27:43.000]  How old are you?
[27:44.000 --> 27:45.000]  The police, Chloe.
[27:46.000 --> 27:51.000]  They tell me that Kelsey and Kaylee are going to be in prison for seven years.
[27:52.000 --> 27:54.000]  Because their mom got angry, she didn't come to pick them up.
[27:55.000 --> 27:56.000]  That's very sad, I'm going to cry.
[27:57.000 --> 27:58.000]  About this story.
[27:59.000 --> 28:01.000]  What is the message of the story?
[28:02.000 --> 28:04.000]  There has to be a message, something they are teaching.
[28:05.000 --> 28:06.000]  You are the authors.
[28:07.000 --> 28:08.000]  Do you want to print a photo?
[28:09.000 --> 28:10.000]  No.
[28:11.000 --> 28:12.000]  You want to be a realist.
[28:13.000 --> 28:14.000]  Oh, ok, so maybe we take the photo away after a little while.
[28:15.000 --> 28:16.000]  On purpose.
[28:17.000 --> 28:18.000]  Where do they go?
[28:19.000 --> 28:21.000]  They are stealing, they should have a consequence.
[28:22.000 --> 28:23.000]  The shop?
[28:24.000 --> 28:26.000]  I think they are passing, so they can take a picture.
[28:27.000 --> 28:28.000]  Oh, ok.
[28:29.000 --> 28:32.000]  I don't think your mom would let you stay there for seven years, no matter how angry she was.
[28:33.000 --> 28:34.000]  She would die of shame.
[28:37.000 --> 28:38.000]  Change the paper?
[28:38.000 --> 28:39.000]  Something is happening.
[28:40.000 --> 28:41.000]  Where is it?
[28:42.000 --> 28:43.000]  You drew everything.
[28:44.000 --> 28:45.000]  Can I print this one?
[28:46.000 --> 28:47.000]  No.
[28:48.000 --> 28:49.000]  It's not.
[28:50.000 --> 28:53.000]  Ah, from the universe and the UFO.
[28:54.000 --> 28:57.000]  Ok, girls, I'm going to go back to continue telling me.
[28:58.000 --> 29:03.000]  I love the story, I see the message, I'm a little sad, but well, she will have to survive.
[29:04.000 --> 29:05.000]  Let's move on to this other group.
[29:06.000 --> 29:07.000]  Let's see who we have here.
[29:08.000 --> 29:09.000]  We have...
[29:10.000 --> 29:11.000]  Sorry, I'm going to kill myself.
[29:12.000 --> 29:13.000]  How are we doing, girls?
[29:18.000 --> 29:19.000]  Oh, hello.
[29:20.000 --> 29:21.000]  New student?
[29:22.000 --> 29:24.000]  You were here last week, but you didn't come so much.
[29:25.000 --> 29:26.000]  What's your name?
[29:27.000 --> 29:28.000]  Ivani.
[29:29.000 --> 29:30.000]  Novani.
[29:31.000 --> 29:32.000]  Novani, yes, it's true.
[29:33.000 --> 29:35.000]  Novani, I don't know if I have this from your parents.
[29:35.000 --> 29:36.000]  Let's see.
[29:39.000 --> 29:40.000]  No.
[29:41.000 --> 29:42.000]  Did I send this to you?
[29:43.000 --> 29:44.000]  I didn't send it to you.
[29:45.000 --> 29:47.000]  I think I told your mom I was going to send it, and then I didn't.
[29:48.000 --> 29:49.000]  Can you send it to your parents?
[29:50.000 --> 29:51.000]  And they have to sign.
[29:52.000 --> 29:55.000]  Look, they have to put their initials here, if they agree to record it.
[29:56.000 --> 29:57.000]  I explained it to them by phone.
[29:58.000 --> 29:59.000]  And then, second, that's one.
[30:00.000 --> 30:01.000]  And the other is to sign, two things.
[30:02.000 --> 30:03.000]  And do you bring it tomorrow?
[30:03.000 --> 30:06.000]  Yes, Novani, because you came in a little later, so I didn't give you this.
[30:07.000 --> 30:10.000]  It's the permission so we can see your work for the program, ok?
[30:11.000 --> 30:12.000]  Put it in your backpack, come on, honey.
[30:24.000 --> 30:25.000]  Don't lose it, honey.
[30:26.000 --> 30:27.000]  Do you have garlic for dinner?
[30:34.000 --> 30:35.000]  Tell me what you're doing.
[30:36.000 --> 30:37.000]  What's your story, Novani?
[30:38.000 --> 30:39.000]  This one?
[30:42.000 --> 30:44.000]  Hey, do you know that the dolls can stand up?
[30:45.000 --> 30:46.000]  Because they're going to be in a box.
[30:47.000 --> 30:48.000]  Like yours is three-dimensional.
[30:49.000 --> 30:50.000]  I think it's the first one I see.
[30:51.000 --> 30:52.000]  Kelsey, right?
[30:53.000 --> 30:54.000]  No, what's her name?
[30:55.000 --> 30:56.000]  Marin.
[30:57.000 --> 30:58.000]  I'm confusing them.
[30:59.000 --> 31:00.000]  Ok, here we have Novani.
[31:00.000 --> 31:02.000]  We have Marin and we have Keisha.
[31:03.000 --> 31:05.000]  I forget after not seeing them for so long.
[31:06.000 --> 31:07.000]  And Keisha.
[31:08.000 --> 31:11.000]  Let's see, Marin, I love that you're doing it like in space, you see?
[31:12.000 --> 31:13.000]  Because we're going to make it in a box.
[31:14.000 --> 31:18.000]  It's ok, Keisha has made it flat, because when we did it before it was flat.
[31:19.000 --> 31:21.000]  But now, if you want, you can do it like standing up.
[31:22.000 --> 31:24.000]  Novani is putting it up too, right?
[31:25.000 --> 31:26.000]  Yes, I'm putting it up.
[31:26.000 --> 31:28.000]  Novani is putting it up too, right?
[31:29.000 --> 31:31.000]  Like sitting down, you're putting them up like three-dimensional.
[31:32.000 --> 31:33.000]  Like mine.
[31:34.000 --> 31:37.000]  And yet Keisha is fine, Keisha has chosen to make it flat.
[31:38.000 --> 31:39.000]  More or less.
[31:40.000 --> 31:41.000]  Alright.
[31:43.000 --> 31:44.000]  I understand English too.
[31:45.000 --> 31:46.000]  I like to speak in Spanish.
[31:48.000 --> 31:49.000]  Alright.
[31:50.000 --> 31:53.000]  Marin, tell me your story.
[31:53.000 --> 31:54.000]  Tell me your story.
[31:55.000 --> 31:56.000]  Tell me your story.
[31:57.000 --> 31:58.000]  Where is your story?
[31:59.000 --> 32:00.000]  Is it this one?
[32:04.000 --> 32:05.000]  Alright.
[32:06.000 --> 32:07.000]  The character is Jessie?
[32:08.000 --> 32:09.000]  Jessie Apple?
[32:11.000 --> 32:12.000]  Who is Jessie? Is this her?
[32:13.000 --> 32:14.000]  Is that Jessie?
[32:15.000 --> 32:17.000]  What happened? Did you take her head off?
[32:18.000 --> 32:19.000]  I want to take a picture, can I?
[32:20.000 --> 32:21.000]  Can I take a picture?
[32:21.000 --> 32:22.000]  Can I take a picture?
[32:23.000 --> 32:24.000]  Are you going to put her head on first?
[32:25.000 --> 32:26.000]  Or should I take it off now?
[32:27.000 --> 32:28.000]  And can I take a picture of yours?
[32:29.000 --> 32:30.000]  Novani, don't move it.
[32:33.000 --> 32:34.000]  Wow, Novani.
[32:35.000 --> 32:37.000]  What are you going to do with these dolls? What's the story?
[32:38.000 --> 32:40.000]  Do you have a story, all three of you?
[32:41.000 --> 32:42.000]  Together?
[32:45.000 --> 32:46.000]  No? Different?
[32:47.000 --> 32:48.000]  No, I have a story with Novani.
[32:49.000 --> 32:50.000]  You have a story with what?
[32:51.000 --> 32:52.000]  Novani.
[32:53.000 --> 32:54.000]  Novani and?
[32:55.000 --> 32:56.000]  Noami.
[32:57.000 --> 32:58.000]  Noami.
[32:59.000 --> 33:00.000]  Where is Noami?
[33:01.000 --> 33:02.000]  She came today.
[33:03.000 --> 33:04.000]  Oh, I saw her come out.
[33:06.000 --> 33:09.000]  So Keisha, Noemi and Noami have made the same story.
[33:10.000 --> 33:11.000]  Can you tell me what it is, Keisha?
[33:12.000 --> 33:13.000]  It's our...
[33:15.000 --> 33:16.000]  Our...
[33:17.000 --> 33:18.000]  How do you say it?
[33:18.000 --> 33:20.000]  Our story is called, but my mom didn't tell me.
[33:21.000 --> 33:22.000]  But one day she did.
[33:24.000 --> 33:25.000]  Like a pajama party?
[33:26.000 --> 33:27.000]  A sleepover? Something like that?
[33:28.000 --> 33:29.000]  Yes.
[33:30.000 --> 33:32.000]  Ok, so your mom didn't tell you and...
[33:34.000 --> 33:36.000]  But you're making a big heart, right?
[33:39.000 --> 33:40.000]  Tell me.
[33:41.000 --> 33:43.000]  What is this about your story, the heart?
[33:44.000 --> 33:45.000]  Take a picture.
[33:45.000 --> 33:48.000]  It's a heart, but it's a person's heart.
[33:49.000 --> 33:50.000]  A person's heart?
[33:51.000 --> 33:52.000]  Yes.
[33:53.000 --> 33:54.000]  And what is the message in your story?
[33:55.000 --> 33:57.000]  Do you have a message you want to tell with your story?
[33:58.000 --> 33:59.000]  As an author?
[34:05.000 --> 34:06.000]  We don't have a story?
[34:06.000 --> 34:07.000]  You don't have a story?
[34:15.000 --> 34:18.000]  Ok, but did something happen after they didn't give you permission to make the pajama party?
[34:19.000 --> 34:20.000]  What happened?
[34:23.000 --> 34:24.000]  We made a video.
[34:25.000 --> 34:26.000]  What?
[34:27.000 --> 34:28.000]  A pajama video.
[34:29.000 --> 34:30.000]  Oh, you made a pajama video?
[34:33.000 --> 34:34.000]  But at school.
[34:37.000 --> 34:38.000]  At school, to take to school?
[34:39.000 --> 34:44.000]  Or at school, while they were at school, instead of going to class, they went to make a video?
[34:45.000 --> 34:46.000]  No, here at our show.
[34:47.000 --> 34:49.000]  Oh, during our show they made a video.
[34:55.000 --> 34:57.000]  Oh, you're telling me in reality that they already made the video?
[34:58.000 --> 34:59.000]  Of their pajama party?
[35:00.000 --> 35:02.000]  Oh, they already did it, and this is extra, the heart?
[35:03.000 --> 35:04.000]  You're just doing it for fun.
[35:04.000 --> 35:05.000]  I'm doing it for fun.
[35:06.000 --> 35:08.000]  Ah, ok, ok, now I understand.
[35:17.000 --> 35:19.000]  Let's see, you have a little bit left there, Jordani.
[35:21.000 --> 35:22.000]  Alright.
[35:23.000 --> 35:24.000]  What do I need here?
[35:26.000 --> 35:27.000]  No bunny.


~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 Finished  en transcription...
 Time : 03:21:53________
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
