Audio File : whispy\mar_07\030723_meeting.wav             
Model size : large-v2

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting es transcription...          
 Time : 04:45:56          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

[0:00:00  ->  0:00:03]  ...app para nuestro chat.
[0:00:03 ->  0:00:05]  Se llama Stop Motion.
[0:16:50 ->  0:16:51]  que vas a hacer.
[0:16:51 ->  0:16:53]  Así que no estamos...
[0:16:53 ->  0:16:55]  No estamos en el mismo bloque.
[0:16:55 ->  0:16:57]  Y otra cosa que podemos hacer es que podemos hacerlo
[0:16:58 ->  0:17:00]  casi como estaciones,
[0:17:00 ->  0:17:02]  o como un comienzo estagiado.
[0:17:02 ->  0:17:04]  Tal vez sea mejor decirlo.
[0:17:04 ->  0:17:05]  Porque...
[0:17:05 ->  0:17:07]  En diferentes puntos.
[0:17:07 ->  0:17:09]  Así que es...
[0:17:10 ->  0:17:12]  Tenemos pocos minutos,
[0:17:12 ->  0:17:14]  pero creo que lo finalizaremos el viernes.
[0:17:14 ->  0:17:16]  Ya me di cuenta que tenemos el viernes.
[0:17:16 ->  0:17:18]  Y tenemos que continuar hablando de esto el viernes,
[0:17:18 ->  0:17:20]  pero quiero pasar unos minutos hablando de la semana pasada.
[0:17:20 ->  0:17:22]  Porque es el próximo viernes también.
[0:17:22 ->  0:17:24]  Les dije dos semanas antes.
[0:17:27 ->  0:17:29]  De los candidatos de profesor,
[0:17:29 ->  0:17:33]  Ángela, Andrea, Cristina,
[0:17:33 ->  0:17:34]  vienen.
[0:17:34 ->  0:17:36]  Y luego Belinda y yo.
[0:17:36 ->  0:17:38]  Y Paulina, y Hannah vienen.
[0:17:38 ->  0:17:40]  No, no respondí.
[0:17:40 ->  0:17:42]  Lo siento.
[0:17:42 ->  0:17:43]  Tengo que responder.
[0:17:43 ->  0:17:45]  Tenemos que confirmar con Tom y María.
[0:17:45 ->  0:17:47]  ¿Supuestan esto?
[0:17:47 ->  0:17:49]  ¿No han vuelto?
[0:17:49 ->  0:17:52]  Sí, me olvidé de preguntar a Tom.
[0:17:52 ->  0:17:54]  Estábamos pre-conferenciando.
[0:17:54 ->  0:17:56]  Sí, estaban ocupados.
[0:17:56 ->  0:17:58]  Pero puedo...
[0:17:58 ->  0:18:00]  Sí, voy a enviarles un mensaje.
[0:18:00 ->  0:18:02]  Quiero venir.
[0:18:02 ->  0:18:04]  Buen sábado, la conferencia.
[0:18:04 ->  0:18:06]  ¿Están pensando en unirse?
[0:18:06 ->  0:18:07]  Sí.
[0:18:07 ->  0:18:09]  Pensé que dijeron que no querían venir.
[0:18:09 ->  0:18:11]  No.
[0:18:11 ->  0:18:13]  No creo que haya dicho eso.
[0:18:17 ->  0:18:19]  Creo que no entendieron lo que dijimos.
[0:18:19 ->  0:18:22]  No puedo venir porque estoy trabajando en no sé qué.
[0:18:22 ->  0:18:24]  No, en el mes.
[0:18:24 ->  0:18:27]  Mi profesor es de México.
[0:18:27 ->  0:18:29]  Oh, ya entendí.
[0:18:29 ->  0:18:31]  Lo siento, no estoy...
[0:18:31 ->  0:18:33]  El 17.
[0:18:34 ->  0:18:36]  El 17.
[0:18:36 ->  0:18:38]  ¿Te acuerdas que hablamos...
[0:18:38 ->  0:18:39]  Sí, es cierto.
[0:18:39 ->  0:18:42]  Me olvidé que es el 17.
[0:18:42 ->  0:18:44]  Lo siento.
[0:18:46 ->  0:18:48]  Pero voy a estar en Massachusetts.
[0:18:48 ->  0:18:50]  Voy a estar con mi familia.
[0:18:50 ->  0:18:52]  Ah, no puedes.
[0:18:54 ->  0:18:56]  Lo olvidé todo.
[0:18:56 ->  0:18:58]  Puedes venir con tu familia.
[0:18:58 ->  0:19:00]  ¡Vamos a unirnos todos!
[0:19:00 ->  0:19:02]  Yo te iría a hacer sentir mal.
[0:19:02 ->  0:19:04]  Nosotros y la familia de Joe.
[0:19:04 ->  0:19:06]  Quiero, pero...
[0:19:06 ->  0:19:08]  Si quieren venir, están bien invitados.
[0:19:08 ->  0:19:10]  Así que, Jada, déjenme saber.
[0:19:10 ->  0:19:14]  Ya pasamos el día de registro.
[0:19:14 ->  0:19:16]  Así que está bien ahora. No es un gran problema.
[0:19:16 ->  0:19:19]  A lo largo de que te registres antes de la semana.
[0:19:19 ->  0:19:22]  Pero te registraré como estudiante.
[0:19:22 ->  0:19:24]  Porque vas a tomar clase.
[0:19:24 ->  0:19:26]  Creo que puedes ser ambos.
[0:19:26 ->  0:19:28]  Puedes ser estudiante y profesor.
[0:19:28 ->  0:19:30]  Porque si...
[0:19:30 ->  0:19:32]  Veamos...
[0:19:32 ->  0:19:36]  Cuántos créditos de CLE nos dan.
[0:19:36 ->  0:19:38]  Porque si es valiente pagar los extra,
[0:19:38 ->  0:19:40]  nos gustaría hacer eso.
[0:19:40 ->  0:19:42]  Los créditos para...
[0:19:42 ->  0:19:44]  Pero te darán eso de todas formas, ¿verdad?
[0:19:44 ->  0:19:46]  Porque puedes ser como Jada,
[0:19:46 ->  0:19:48]  es estudiante y es profesora.
[0:19:48 ->  0:19:50]  Pero no creo que nos den créditos si no somos profesoras.
[0:19:50 ->  0:19:54]  No nos darán créditos como profesores.
[0:19:55 ->  0:19:57]  ¿Estás segura?
[0:19:57 ->  0:19:59]  Déjame comentar eso.
[0:19:59 ->  0:20:01]  Porque puedes ser ambos.
[0:20:01 ->  0:20:03]  ¿Por qué pagarles...
[0:20:03 ->  0:20:05]  No, puedes ir como estudiante,
[0:20:05 ->  0:20:07]  pero no te darán créditos de desarrollo profesional.
[0:20:07 ->  0:20:09]  Ah...
[0:20:09 ->  0:20:11]  Es un riesgo.
[0:20:11 ->  0:20:13]  Creo que estoy bien.
[0:20:13 ->  0:20:15]  Solo necesitamos 100 créditos por el quinto año.
[0:20:15 ->  0:20:17]  No, pero es bueno...
[0:20:17 ->  0:20:19]  Quiero que te den los créditos,
[0:20:19 ->  0:20:21]  lo que sea.
[0:20:21 ->  0:20:23]  Lo que te beneficie.
[0:20:23 ->  0:20:25]  No, no, no.
[0:20:25 ->  0:20:27]  Ella no es...
[0:20:27 ->  0:20:29]  Tiene que tener la memoria regular.
[0:20:29 ->  0:20:31]  No es estudiante.
[0:20:31 ->  0:20:33]  O estudiante de forma informal.
[0:20:33 ->  0:20:35]  No es un colegio de profesores.
[0:20:35 ->  0:20:37]  Lo siento.
[0:20:37 ->  0:20:39]  Pero podemos cambiarlo.
[0:20:39 ->  0:20:41]  ¿Cómo se llama?
[0:20:41 ->  0:20:43]  CLT.
[0:20:43 ->  0:20:45]  CLTLE.
[0:20:45 ->  0:20:47]  Creo que sí.
[0:20:47 ->  0:20:49]  Comienza con una C y termina con una E.
[0:20:49 ->  0:20:51]  Creo que es CLTLE.
[0:20:51 ->  0:20:53]  Registrado como estudiante.
[0:20:53 ->  0:20:55]  Estoy segura que eso estaría bien.
[0:20:55 ->  0:20:57]  Es solo una carta que te dan
[0:20:57 ->  0:20:59]  diciendo que estuviste ahí.
[0:20:59 ->  0:21:01]  Es científico, pero sí.
[0:21:01 ->  0:21:03]  Si es así, tendríamos que registrarte.
[0:21:03 ->  0:21:05]  Ya estamos listos, deberíamos recibir créditos.
[0:21:05 ->  0:21:07]  Sí, por supuesto.
[0:21:07 ->  0:21:09]  No es una gran diferencia.
[0:21:09 ->  0:21:11]  ¿Y el precio era de 100?
[0:21:11 ->  0:21:13]  No, creo que profesores,
[0:21:13 ->  0:21:15]  lo que tú mandaste era como 100 dólares más.
[0:21:15 ->  0:21:17]  Por eso habría que ver si vale la pena.
[0:21:17 ->  0:21:19]  Porque si nos dan 6 créditos, no.
[0:21:19 ->  0:21:21]  Ya te dan 12.
[0:21:21 ->  0:21:23]  Pero es el colegio.
[0:21:23 ->  0:21:25]  Sí.
[0:21:25 ->  0:21:27]  No, no, no tú.
[0:21:27 ->  0:21:29]  Pero sí, el colegio.
[0:21:29 ->  0:21:31]  No, el profesor
[0:21:31 ->  0:21:33]  es 265.
[0:21:33 ->  0:21:35]  Y el estudiante es 150.
[0:21:35 ->  0:21:37]  Después de la cita.
[0:21:37 ->  0:21:39]  Antes de la cita, era 130.
[0:21:39 ->  0:21:41]  Es como un registro.
[0:21:41 ->  0:21:43]  Más de 100 dólares más.
[0:21:43 ->  0:21:45]  Sí, por eso.
[0:21:45 ->  0:21:47]  Yo vi que el pre-registro,
[0:21:48 ->  0:21:50]  el pre-registro, no sé qué,
[0:21:50 ->  0:21:52]  era 130 alumnos y 240 o algo así.
[0:21:52 ->  0:21:54]  Es una diferencia significativa.
[0:21:54 ->  0:21:56]  Pero si no te dan,
[0:21:56 ->  0:21:58]  el CET
[0:21:58 ->  0:22:00]  lo hará de esa manera, de todos modos.
[0:22:00 ->  0:22:02]  No pasa nada,
[0:22:02 ->  0:22:04]  pero sería bueno saber
[0:22:04 ->  0:22:06]  cuántos nos darían.
[0:22:06 ->  0:22:08]  A veces, si las conferencias son más cortas,
[0:22:08 ->  0:22:10]  te dan menos créditos.
[0:22:10 ->  0:22:12]  Es para un día, sí.
[0:22:12 ->  0:22:14]  No creo que va a ser mucho.
[0:22:14 ->  0:22:16]  Pero bueno, lo averiguo.
[0:22:16 ->  0:22:18]  Necesitamos que Jana me diga,
[0:22:18 ->  0:22:20]  que Jeyla me diga, para que os registre a las tres.
[0:22:20 ->  0:22:22]  Que sois las que queráis.
[0:22:22 ->  0:22:24]  Y Ángela también, la tengo que registrar.
[0:22:24 ->  0:22:26]  Porque estoy registrando como un grupo a todos.
[0:22:26 ->  0:22:28]  Cristina ya está registrada.
[0:22:28 ->  0:22:30]  Sí, yo estoy registrada.
[0:22:30 ->  0:22:32]  Y Jana, tú, digo, Ángela.
[0:22:32 ->  0:22:34]  Ángela se gastó el mini-grant en algo.
[0:22:34 ->  0:22:36]  No lo sé.
[0:22:36 ->  0:22:38]  ¿A ti te registro yo
[0:22:38 ->  0:22:40]  o tú tienes la mini-grant del BBI?
[0:22:40 ->  0:22:42]  Ya la busqué para...
[0:22:42 ->  0:22:44]  Sí, sí.
[0:22:44 ->  0:22:46]  Yo tengo 500 y no sé cuántos logros.
[0:22:46 ->  0:22:48]  Todos esos exámenes.
[0:22:48 ->  0:22:50]  Entonces son tres más que tengo que registrar.
[0:22:50 ->  0:22:52]  Uno, dos, tres.
[0:22:52 ->  0:22:54]  ¿Certificados?
[0:22:54 ->  0:22:56]  Para la presentación,
[0:22:56 ->  0:22:58]  los viernes tenemos más tiempo,
[0:22:58 ->  0:23:00]  pero estaba yo pensando
[0:23:00 ->  0:23:02]  que Belinda y yo podríamos hacer una...
[0:23:02 ->  0:23:04]  Tenemos como 40 minutos.
[0:23:04 ->  0:23:06]  Entonces hacer algo un poquito activo.
[0:23:06 ->  0:23:08]  Porque son esas maestras las que vienen a esta conferencia.
[0:23:08 ->  0:23:10]  Son maestras de New York,
[0:23:10 ->  0:23:12]  que están en Bilingual Programs.
[0:23:13  ->  0:23:15]  No tienen teachers, educadores como nosotros.
[0:23:15  ->  0:23:17]  Pero estaremos allí.
[0:23:17  ->  0:23:19]  Y te dan el lunch con la registración del día
[0:23:19  ->  0:23:21]  y desayuno.
[0:23:21  ->  0:23:23]  Y al desayuno no llegaremos.
[0:23:23  ->  0:23:25]  Una gran cosa que tenemos que figure out
[0:23:25  ->  0:23:27]  is how to get there.
[0:23:27  ->  0:23:29]  Because it's far away.
[0:23:29  ->  0:23:31]  ¿Anyone has a car?
[0:23:31  ->  0:23:33]  ¿No has?
[0:23:33  ->  0:23:35]  Yo tengo.
[0:23:35  ->  0:23:37]  Cuando lo puse en...
[0:23:37  ->  0:23:39]  I'll get there in five hours.
[0:23:39  ->  0:23:41]  Cuando lo puse en Maps,
[0:23:41 ->  0:23:43]  un tren y tres buses por cuatro horas.
[0:23:43 ->  0:23:45]  Pero podríamos coger el tren
[0:23:45 ->  0:23:47]  y luego un Uber.
[0:23:47 ->  0:23:49]  Podríamos coger el tren y luego un Uber.
[0:23:49 ->  0:23:51]  Sí, sí.
[0:23:51 ->  0:23:53]  Desde aquí sería mejor,
[0:23:53 ->  0:23:55]  pero desde el tren.
[0:23:55 ->  0:23:57]  Sí, eso sería mejor, creo.
[0:23:57 ->  0:23:59]  Tenemos que ver...
[0:23:59 ->  0:24:01]  ¿Desde el tren al...
[0:24:01 ->  0:24:03]  ¿Al LRR?
[0:24:03 ->  0:24:05]  ¿Al LRR?
[0:24:05 ->  0:24:07]  Un City Bike.
[0:24:07 ->  0:24:09]  Llegar con sudando,
[0:24:09 ->  0:24:11]  pero...
[0:24:11 ->  0:24:13]  Entonces queremos por la mañana ir a algunas
[0:24:13 ->  0:24:15]  ciudades más, no llegar muy tarde.
[0:24:15 ->  0:24:17]  La nuestra es como a las cuatro, es tarde.
[0:24:17 ->  0:24:19]  Pero tenemos 40 minutos.
[0:24:19 ->  0:24:21]  Entonces, bueno, el título... Ya empecé la presentación.
[0:24:21 ->  0:24:23]  Porque esto pone cuatro slides juntos.
[0:24:23 ->  0:24:25]  Y Belinda y yo como que podemos hacer...
[0:24:25 ->  0:24:27]  Tenemos el título
[0:24:27 ->  0:24:29]  que es esa idea de leveraging
[0:24:29 ->  0:24:31]  the Jigsaw, ¿no?
[0:24:31 ->  0:24:33]  It's pre-service, in-service, teachers and the children.
[0:24:33 ->  0:24:35]  Kind of the different
[0:24:35 ->  0:24:37]  TV systems working together
[0:24:37 ->  0:24:39]  and they bring different rules, different understanding,
[0:24:39 ->  0:24:41]  different artifacts, and that creates
[0:24:41 ->  0:24:43]  tensions among us.
[0:24:43 ->  0:24:45]  Like tensions in the sense of, you know,
[0:24:45 ->  0:24:47]  what do we do with language, what do we do with teaching
[0:24:47 ->  0:24:49]  reading, and that.
[0:24:49 ->  0:24:51]  And then we take action. Sometimes you give us
[0:24:51 ->  0:24:53]  new artifacts that we take on
[0:24:53 ->  0:24:55]  or you mention how this connects
[0:24:55 ->  0:24:57]  with your classroom instruction.
[0:24:57 ->  0:24:59]  And that helps us.
[0:24:59 ->  0:25:01]  So, pensé que podríamos tener
[0:25:01 ->  0:25:03]  background, un poquito de las teorías
[0:25:03 ->  0:25:05]  y guiding questions, describir el programa.
[0:25:06 ->  0:25:08]  Puse a taste of the program curriculum
[0:25:08 ->  0:25:10]  porque pensé que podíamos hacer
[0:25:10 ->  0:25:12]  como lo que hacemos con los niños.
[0:25:12 ->  0:25:14]  Por ejemplo, traer los whispering poems
[0:25:14 ->  0:25:16]  y enseñarles que vean
[0:25:16 ->  0:25:18]  lo que hacemos en el otro.
[0:25:18 ->  0:25:20]  A enseñarles lo de la animación.
[0:25:20 ->  0:25:22]  Y a explicarles
[0:25:22 ->  0:25:24]  sobre el... Por eso quería que John
[0:25:24 ->  0:25:26]  nos explicara. Explicar lo de la aplicación
[0:25:26 ->  0:25:28]  para que puedan llevarse algunas ideas
[0:25:28 ->  0:25:30]  para su clase, porque a los maestros les gusta tener...
[0:25:30 ->  0:25:32]  Entonces, ¿qué cosas hacemos aquí
[0:25:32 ->  0:25:34]  que podamos compartir?
[0:25:34 ->  0:25:36]  Repeat reading, explicar esto.
[0:25:36 ->  0:25:38]  ¿Tal vez podemos hablar también un poco del background
[0:25:38 ->  0:25:40]  de la escuela y los estudiantes?
[0:25:40 ->  0:25:42]  Un poco como hablar sobre quiénes somos nosotros
[0:25:42 ->  0:25:44]  como escuela
[0:25:44 ->  0:25:46]  y quiénes son nuestros estudiantes.
[0:25:46 ->  0:25:48]  Sí, exacto.
[0:25:48 ->  0:25:50]  Y después podríamos partir con eso
[0:25:50 ->  0:25:52]  entre medio como un poco
[0:25:52 ->  0:25:54]  sandwich y después al final
[0:25:54 ->  0:25:56]  hablar un poco de la parte
[0:25:56 ->  0:25:58]  que nos toca.
[0:25:58 ->  0:26:00]  Pero sería como eso de background.
[0:26:00 ->  0:26:02]  Esto es el background. Esto lo hablábamos Belinda y yo.
[0:26:02 ->  0:26:04]  Son como las teorías que han hecho
[0:26:04 ->  0:26:06]  sobre reading y esto de los
[0:26:06 ->  0:26:08]  activity systems.
[0:26:08 ->  0:26:10]  Que esto le pondríamos...
[0:26:10 ->  0:26:12]  ¿Te acuerdas del triángulo?
[0:26:12 ->  0:26:14]  Bueno, para hacerlo un poco teórico
[0:26:14 ->  0:26:16]  los maestros no siempre se interesan
[0:26:16 ->  0:26:18]  tanto, así que ya un ratito.
[0:26:18 ->  0:26:20]  Pero hablaríamos de very waste of reading.
[0:26:20 ->  0:26:22]  Es un hybrid literacy space.
[0:26:22 ->  0:26:24]  Y bueno, esto lo tengo del otro programa
[0:26:24 ->  0:26:26]  pero más o menos lo mismo.
[0:26:26 ->  0:26:28]  Las instrucciones diseñadas por las
[0:26:28 ->  0:26:30]  digital literacy,
[0:26:30 ->  0:26:32]  así que las familias invite,
[0:26:32 ->  0:26:34]  children's identity,
[0:26:34 ->  0:26:36]  readers,
[0:26:36 ->  0:26:38]  sobre todo criticality and comprehension.
[0:26:38 ->  0:26:40]  Y aquí en los métodos es donde
[0:26:40 ->  0:26:42]  podéis escribir un poco de vuestra escuela,
[0:26:42 ->  0:26:44]  de cómo funciona, porque les interesa saber
[0:26:44 ->  0:26:46]  cómo funcionan otras escuelas.
[0:26:46 ->  0:26:48]  Y la expeditionary learning.
[0:26:48 ->  0:26:50]  Y bueno, aquí hablaríamos
[0:26:50 ->  0:26:52]  de qué de ida recogemos
[0:26:52 ->  0:26:54]  porque realmente es research
[0:26:54 ->  0:26:56]  y cómo lo analizamos así rapidito.
[0:26:56 ->  0:26:58]  Eso es de... lo tengo que cambiar.
[0:26:59 ->  0:27:01]  Y después pensé que...
[0:27:01 ->  0:27:03]  perdón, estos son solo copias.
[0:27:03 ->  0:27:05]  De los emerging findings, en esta parte
[0:27:05 ->  0:27:09]  la idea del finding que habíamos discutido
[0:27:09 ->  0:27:11]  aquel día, el viernes, aquel que hablamos
[0:27:11 ->  0:27:13]  cuando mandamos la propuesta, era que
[0:27:13 ->  0:27:15]  había tensiones
[0:27:15 ->  0:27:17]  que sparked through the different objects and artifacts.
[0:27:17 ->  0:27:19]  Tenemos diferentes maneras de enseñar lectura.
[0:27:19 ->  0:27:21]  Y estos eran...
[0:27:21 ->  0:27:23]  Collectively reflected upon
[0:27:23 ->  0:27:25]  individually-identified actions
[0:27:25 ->  0:27:27]  propelled by the very waste of reading program
[0:27:27 ->  0:27:29]  toward integrating and protecting learning spaces
[0:27:29 ->  0:27:31]  and we together leveraged
[0:27:31 ->  0:27:33]  the natural jigsaw experience
[0:27:33 ->  0:27:35]  creating a hard space
[0:27:35 ->  0:27:37]  and perspectives, artifacts and ideologies.
[0:27:37 ->  0:27:39]  No, es como aquí Belinda y yo,
[0:27:39 ->  0:27:41]  esto está automáticamente pasando.
[0:27:41 ->  0:27:43]  Nos puede mandar eso?
[0:27:43 ->  0:27:45]  Sí, lo voy a poner en nuestro folder
[0:27:45 ->  0:27:47]  para que luego vosotras...
[0:27:47 ->  0:27:49]  Belinda y yo haríamos la parte inicial
[0:27:49 ->  0:27:51]  y claro, vosotras contribuís con el setting
[0:27:51 ->  0:27:53]  y el context y lo que sea que queráis decir.
[0:27:53 ->  0:27:55]  Pero luego, aquí en los findings,
[0:27:55 ->  0:27:57]  pensaba que esto es el main finding
[0:27:57 ->  0:27:59]  pero luego ilustrar eso,
[0:27:59 ->  0:28:01]  ilustrarlo,
[0:28:01 ->  0:28:03]  cómo hacemos lo del jigsaw,
[0:28:03 ->  0:28:05]  cómo contribuíamos, trabajábamos juntas
[0:28:05 ->  0:28:07]  para cambiar el afterschool.
[0:28:07 ->  0:28:09]  Porque hemos tomado decisiones
[0:28:09 ->  0:28:11]  como basado en lo que las maestras decían,
[0:28:11 ->  0:28:13]  lo que nosotros leemos,
[0:28:13 ->  0:28:15]  lo que los niños dicen.
[0:28:15 ->  0:28:17]  Y pensaba que de lo que hemos discutido
[0:28:17 ->  0:28:19]  había una parte...
[0:28:19 ->  0:28:21]  ¿Qué va esto?
[0:28:21 ->  0:28:23]  Había una parte de language expectation
[0:28:24 ->  0:28:26]  Hablamos mucho de language
[0:28:26 ->  0:28:28]  No sé si alguien se quiere escoger ese tema
[0:28:28 ->  0:28:30]  que por ejemplo es
[0:28:30 ->  0:28:32]  focus on use in Spanish,
[0:28:32 ->  0:28:34]  es lo que nosotros decíamos,
[0:28:34 ->  0:28:36]  but evolving assumptions and expectations
[0:28:36 ->  0:28:38]  of how the teachers and children help us
[0:28:38 ->  0:28:40]  understand how to post in Spanish in this space.
[0:28:40 ->  0:28:42]  And our own assumptions
[0:28:42 ->  0:28:44]  and language use.
[0:28:44 ->  0:28:46]  No como hablando de la lengua,
[0:28:46 ->  0:28:48]  de lo que hemos hecho en lengua
[0:28:48 ->  0:28:50]  y como los tres sistemas.
[0:28:50 ->  0:28:52]  Lo voy a poner así porque me parece muy bueno.
[0:28:52 ->  0:28:54]  Otro a lo mejor sobre higher learning skills
[0:28:54 ->  0:28:56]  que es la parte de la English Convention
[0:28:56 ->  0:28:58]  que son los videos que hace Cristina
[0:28:58 ->  0:29:00]  Sí
[0:29:00 ->  0:29:02]  Cómo hablamos de...

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Finished es transcription...          
 Time : 06:29:31          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

